CCG20CD,CCG20CDH,CCG20NM
E38000197,07H,NHS West Essex CCG
E38000198,11A,NHS West Hampshire CCG
E38000053,05D,NHS East Staffordshire CCG
E38000059,10K,NHS Fareham and Gosport CCG
E38000200,02G,NHS West Lancashire CCG
E38000201,04V,NHS West Leicestershire CCG
E38000062,11M,NHS Gloucestershire CCG
E38000064,03A,NHS Greater Huddersfield CCG
E38000202,08Y,NHS West London CCG
E38000204,07K,NHS West Suffolk CCG
E38000068,01F,NHS Halton CCG
E38000070,08C,NHS Hammersmith and Fulham CCG
E38000205,02H,NHS Wigan Borough CCG
E38000208,12F,NHS Wirral CCG
E38000074,08E,NHS Harrow CCG
E38000077,08F,NHS Havering CCG
E38000210,06A,NHS Wolverhampton CCG
E38000212,13T,NHS Newcastle Gateshead CCG
E38000079,06N,NHS Herts Valleys CCG
E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG"
E38000215,01H,NHS North Cumbria CCG
E38000217,14L,NHS Manchester CCG
E38000082,08G,NHS Hillingdon CCG
E38000084,07Y,NHS Hounslow CCG
E38000220,15E,NHS Birmingham and Solihull CCG
E38000221,15A,NHS Berkshire West CCG
E38000085,03F,NHS Hull CCG
E38000222,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG"
E38000086,06L,NHS Ipswich and East Suffolk CCG
E38000223,14Y,NHS Buckinghamshire CCG
E38000087,10L,NHS Isle of Wight CCG
E38000224,15D,NHS East Berkshire CCG
E38000089,11N,NHS Kernow CCG
E38000225,15F,NHS Leeds CCG
E38000091,01J,NHS Knowsley CCG
E38000226,02M,NHS Fylde and Wyre CCG
E38000097,04C,NHS Leicester City CCG
E38000227,01E,NHS Greater Preston CCG
E38000101,99A,NHS Liverpool CCG
E38000228,01K,NHS Morecambe Bay CCG
E38000102,06P,NHS Luton CCG
E38000229,15M,NHS Derby and Derbyshire CCG
E38000106,06Q,NHS Mid Essex CCG
E38000230,15N,NHS Devon CCG
E38000107,04F,NHS Milton Keynes CCG
E38000231,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG"
E38000113,08M,NHS Newham CCG
E38000232,36J,NHS Bradford District and Craven CCG
E38000117,06T,NHS North East Essex CCG
E38000233,27D,NHS Cheshire CCG
E38000118,99M,NHS North East Hampshire and Farnham CCG
E38000234,84H,NHS County Durham CCG
E38000119,03H,NHS North East Lincolnshire CCG
E38000235,97R,NHS East Sussex CCG
E38000120,10J,NHS North Hampshire CCG
E38000236,18C,NHS Herefordshire and Worcestershire CCG
E38000121,03J,NHS North Kirklees CCG
E38000237,91Q,NHS Kent and Medway CCG
E38000122,03K,NHS North Lincolnshire CCG
E38000238,71E,NHS Lincolnshire CCG
E38000126,05G,NHS North Staffordshire CCG
E38000239,26A,NHS Norfolk and Waveney CCG
E38000127,99C,NHS North Tyneside CCG
E38000240,93C,NHS North Central London CCG
E38000130,00L,NHS Northumberland CCG
E38000241,42D,NHS North Yorkshire CCG
E38000135,00Y,NHS Oldham CCG
E38000242,78H,NHS Northamptonshire CCG
E38000136,10Q,NHS Oxfordshire CCG
E38000243,52R,NHS Nottingham and Nottinghamshire CCG
E38000137,10R,NHS Portsmouth CCG
E38000244,72Q,NHS South East London CCG
E38000138,08N,NHS Redbridge CCG
E38000245,36L,NHS South West London CCG
E38000141,03L,NHS Rotherham CCG
E38000246,92A,NHS Surrey Heartlands CCG
E38000143,01G,NHS Salford CCG
E38000247,16C,NHS Tees Valley CCG
E38000144,05L,NHS Sandwell and West Birmingham CCG
E38000248,70F,NHS West Sussex CCG
E38000146,03N,NHS Sheffield CCG
E38000147,05N,NHS Shropshire CCG
